sampled_at,active_sessions,lock_waiters,blocked_sessions,ungranted_locks,lock_wait_events,waiting_queries
2026-09-05 15:09:25.6666+00,16,15,15,15,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:25.769048+00,13,13,13,13,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:25.870476+00,13,11,11,11,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:25.97291+00,14,13,13,12,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:26.075368+00,11,11,11,11,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:26.177894+00,12,11,12,12,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:26.280346+00,11,11,11,11,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:26.382857+00,10,10,10,10,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:26.485418+00,11,11,11,11,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:26.587894+00,9,8,8,8,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:26.69043+00,8,8,8,8,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:26.792933+00,9,9,9,9,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:26.895452+00,8,7,7,7,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:26.998013+00,7,7,7,7,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:27.100855+00,5,5,5,5,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:27.203738+00,7,6,6,6,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:27.306397+00,3,3,3,3,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:27.408999+00,5,5,5,5,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:27.511739+00,7,4,5,5,Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:39.890783+00,0,0,0,0,,
2026-09-05 15:09:39.992201+00,0,0,0,0,,
2026-09-05 15:09:40.094592+00,0,0,0,0,,
2026-09-05 15:09:40.195907+00,0,0,0,0,,
2026-09-05 15:09:27.614446+00,4,3,3,4,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:27.716986+00,4,4,4,4,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:27.819451+00,4,4,4,4,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:27.921978+00,1,1,1,1,Lock:transactionid,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:28.024553+00,2,2,2,2,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:28.126028+00,1,1,1,1,Lock:transactionid,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:28.228659+00,1,1,1,1,Lock:transactionid,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:28.331234+00,0,0,0,0,,
2026-09-05 15:09:28.433569+00,0,0,0,0,,
2026-09-05 15:09:28.535871+00,0,0,0,0,,
2026-09-05 15:09:28.63823+00,0,0,0,0,,
2026-09-05 15:09:28.740602+00,0,0,0,0,,
2026-09-05 15:09:28.842926+00,0,0,0,0,,
2026-09-05 15:09:28.945233+00,0,0,0,0,,
2026-09-05 15:09:29.04696+00,0,0,0,0,,
2026-09-05 15:09:29.149319+00,0,0,0,0,,
2026-09-05 15:09:29.251592+00,0,0,0,0,,
2026-09-05 15:09:29.353966+00,0,0,0,0,,
2026-09-05 15:09:29.456286+00,0,0,0,0,,
2026-09-05 15:09:29.558571+00,0,0,0,0,,
2026-09-05 15:09:29.6609+00,0,0,0,0,,
2026-09-05 15:09:29.763218+00,0,0,0,0,,
2026-09-05 15:09:29.865628+00,0,0,0,0,,
2026-09-05 15:09:29.966974+00,0,0,0,0,,
2026-09-05 15:09:30.06926+00,0,0,0,0,,
2026-09-05 15:09:30.171665+00,0,0,0,0,,
2026-09-05 15:09:30.274076+00,0,0,0,0,,
2026-09-05 15:09:30.376574+00,0,0,0,0,,
2026-09-05 15:09:30.478937+00,0,0,0,0,,
2026-09-05 15:09:30.581285+00,0,0,0,0,,
2026-09-05 15:09:30.683563+00,0,0,0,0,,
2026-09-05 15:09:30.785986+00,0,0,0,0,,
2026-09-05 15:09:30.888341+00,0,0,0,0,,
2026-09-05 15:09:30.990676+00,0,0,0,0,,
2026-09-05 15:09:31.093016+00,0,0,0,0,,
2026-09-05 15:09:31.195296+00,0,0,0,0,,
2026-09-05 15:09:31.297602+00,0,0,0,0,,
2026-09-05 15:09:31.400028+00,0,0,0,0,,
2026-09-05 15:09:31.502497+00,0,0,0,0,,
2026-09-05 15:09:31.605081+00,0,0,0,0,,
2026-09-05 15:09:31.707715+00,0,0,0,0,,
2026-09-05 15:09:31.810001+00,0,0,0,0,,
2026-09-05 15:09:31.912298+00,0,0,0,0,,
2026-09-05 15:09:32.014702+00,0,0,0,0,,
2026-09-05 15:09:32.116087+00,0,0,0,0,,
2026-09-05 15:09:32.218483+00,0,0,0,0,,
2026-09-05 15:09:32.320906+00,0,0,0,0,,
2026-09-05 15:09:32.423454+00,0,0,0,0,,
2026-09-05 15:09:32.525772+00,0,0,0,0,,
2026-09-05 15:09:32.628076+00,0,0,0,0,,
2026-09-05 15:09:32.730434+00,0,0,0,0,,
2026-09-05 15:09:32.832761+00,0,0,0,0,,
2026-09-05 15:09:32.935142+00,0,0,0,0,,
2026-09-05 15:09:33.0376+00,0,0,0,0,,
2026-09-05 15:09:33.140044+00,0,0,0,0,,
2026-09-05 15:09:33.242411+00,0,0,0,0,,
2026-09-05 15:09:33.344754+00,0,0,0,0,,
2026-09-05 15:09:33.447055+00,0,0,0,0,,
2026-09-05 15:09:33.549406+00,0,0,0,0,,
2026-09-05 15:09:33.651733+00,0,0,0,0,,
2026-09-05 15:09:33.753096+00,0,0,0,0,,
2026-09-05 15:09:33.855364+00,0,0,0,0,,
2026-09-05 15:09:33.957692+00,0,0,0,0,,
2026-09-05 15:09:34.060068+00,0,0,0,0,,
2026-09-05 15:09:34.1625+00,0,0,0,0,,
2026-09-05 15:09:34.264872+00,0,0,0,0,,
2026-09-05 15:09:34.367155+00,0,0,0,0,,
2026-09-05 15:09:34.4695+00,0,0,0,0,,
2026-09-05 15:09:34.571832+00,0,0,0,0,,
2026-09-05 15:09:34.674182+00,0,0,0,0,,
2026-09-05 15:09:34.776688+00,0,0,0,0,,
2026-09-05 15:09:34.879034+00,0,0,0,0,,
2026-09-05 15:09:34.981502+00,0,0,0,0,,
2026-09-05 15:09:35.083811+00,0,0,0,0,,
2026-09-05 15:09:35.186093+00,0,0,0,0,,
2026-09-05 15:09:35.288431+00,0,0,0,0,,
2026-09-05 15:09:35.390848+00,0,0,0,0,,
2026-09-05 15:09:35.493145+00,0,0,0,0,,
2026-09-05 15:09:35.595434+00,0,0,0,0,,
2026-09-05 15:09:35.696764+00,0,0,0,0,,
2026-09-05 15:09:35.799042+00,0,0,0,0,,
2026-09-05 15:09:35.901329+00,0,0,0,0,,
2026-09-05 15:09:36.00365+00,0,0,0,0,,
2026-09-05 15:09:36.106009+00,0,0,0,0,,
2026-09-05 15:09:36.208369+00,0,0,0,0,,
2026-09-05 15:09:36.310713+00,0,0,0,0,,
2026-09-05 15:09:36.413115+00,0,0,0,0,,
2026-09-05 15:09:36.515386+00,0,0,0,0,,
2026-09-05 15:09:36.617643+00,0,0,0,0,,
2026-09-05 15:09:36.719927+00,0,0,0,0,,
2026-09-05 15:09:36.822297+00,0,0,0,0,,
2026-09-05 15:09:36.924747+00,0,0,0,0,,
2026-09-05 15:09:37.027018+00,0,0,0,0,,
2026-09-05 15:09:37.129322+00,0,0,0,0,,
2026-09-05 15:09:37.231628+00,0,0,0,0,,
2026-09-05 15:09:37.333938+00,0,0,0,0,,
2026-09-05 15:09:37.435273+00,0,0,0,0,,
2026-09-05 15:09:37.537535+00,0,0,0,0,,
2026-09-05 15:09:37.639831+00,0,0,0,0,,
2026-09-05 15:09:37.74221+00,0,0,0,0,,
2026-09-05 15:09:37.84458+00,0,0,0,0,,
2026-09-05 15:09:37.94725+00,0,0,0,0,,
2026-09-05 15:09:38.049657+00,0,0,0,0,,
2026-09-05 15:09:38.152043+00,0,0,0,0,,
2026-09-05 15:09:38.254645+00,0,0,0,0,,
2026-09-05 15:09:38.356989+00,0,0,0,0,,
2026-09-05 15:09:38.459297+00,0,0,0,0,,
2026-09-05 15:09:38.561558+00,0,0,0,0,,
2026-09-05 15:09:38.663879+00,0,0,0,0,,
2026-09-05 15:09:38.766256+00,0,0,0,0,,
2026-09-05 15:09:38.86857+00,0,0,0,0,,
2026-09-05 15:09:38.97084+00,0,0,0,0,,
2026-09-05 15:09:39.073196+00,0,0,0,0,,
2026-09-05 15:09:39.17549+00,0,0,0,0,,
2026-09-05 15:09:39.277815+00,0,0,0,0,,
2026-09-05 15:09:39.380127+00,0,0,0,0,,
2026-09-05 15:09:39.482472+00,0,0,0,0,,
2026-09-05 15:09:39.584831+00,0,0,0,0,,
2026-09-05 15:09:39.687149+00,0,0,0,0,,
2026-09-05 15:09:39.789456+00,0,0,0,0,,
2026-09-05 15:09:40.29848+00,0,0,0,0,,
2026-09-05 15:09:40.400928+00,0,0,0,0,,
2026-09-05 15:09:40.503286+00,0,0,0,0,,
2026-09-05 15:09:40.605693+00,0,0,0,0,,
2026-09-05 15:09:40.708186+00,0,0,0,0,,
2026-09-05 15:09:40.810477+00,0,0,0,0,,
2026-09-05 15:09:40.912907+00,0,0,0,0,,
2026-09-05 15:09:41.015282+00,0,0,0,0,,
2026-09-05 15:09:41.117747+00,0,0,0,0,,
2026-09-05 15:09:41.220043+00,0,0,0,0,,
2026-09-05 15:09:41.322454+00,0,0,0,0,,
2026-09-05 15:09:41.424811+00,0,0,0,0,,
2026-09-05 15:09:41.526094+00,0,0,0,0,,
2026-09-05 15:09:41.628482+00,0,0,0,0,,
2026-09-05 15:09:41.731008+00,0,0,0,0,,
2026-09-05 15:09:41.833359+00,0,0,0,0,,
2026-09-05 15:09:41.935743+00,0,0,0,0,,
2026-09-05 15:09:42.038068+00,0,0,0,0,,
2026-09-05 15:09:42.140456+00,0,0,0,0,,
2026-09-05 15:09:42.242747+00,0,0,0,0,,
2026-09-05 15:09:42.344052+00,0,0,0,0,,
2026-09-05 15:09:42.446412+00,0,0,0,0,,
2026-09-05 15:09:42.548707+00,0,0,0,0,,
2026-09-05 15:09:42.651022+00,0,0,0,0,,
2026-09-05 15:09:42.753347+00,0,0,0,0,,
2026-09-05 15:09:42.854655+00,0,0,0,0,,
2026-09-05 15:09:42.956956+00,0,0,0,0,,
2026-09-05 15:09:43.059324+00,0,0,0,0,,
2026-09-05 15:09:43.161737+00,0,0,0,0,,
2026-09-05 15:09:43.264097+00,0,0,0,0,,
2026-09-05 15:09:43.366576+00,0,0,0,0,,
2026-09-05 15:09:43.46886+00,0,0,0,0,,
2026-09-05 15:09:43.571169+00,0,0,0,0,,
2026-09-05 15:09:43.673564+00,0,0,0,0,,
2026-09-05 15:09:43.775983+00,0,0,0,0,,
2026-09-05 15:09:43.878424+00,0,0,0,0,,
2026-09-05 15:09:43.980749+00,0,0,0,0,,
2026-09-05 15:09:44.083124+00,0,0,0,0,,
2026-09-05 15:09:44.18572+00,0,0,0,0,,
2026-09-05 15:09:44.288072+00,0,0,0,0,,
2026-09-05 15:09:44.390368+00,0,0,0,0,,
2026-09-05 15:09:44.492686+00,0,0,0,0,,
2026-09-05 15:09:44.594954+00,0,0,0,0,,
2026-09-05 15:09:44.697346+00,0,0,0,0,,
2026-09-05 15:09:44.799831+00,0,0,0,0,,
2026-09-05 15:09:44.90217+00,0,0,0,0,,
2026-09-05 15:09:45.004595+00,0,0,0,0,,
2026-09-05 15:09:45.106882+00,0,0,0,0,,
2026-09-05 15:09:45.20931+00,0,0,0,0,,
2026-09-05 15:09:45.311871+00,0,0,0,0,,
2026-09-05 15:09:45.414182+00,0,0,0,0,,
2026-09-05 15:09:45.516547+00,0,0,0,0,,
2026-09-05 15:09:45.618835+00,0,0,0,0,,
2026-09-05 15:09:45.721302+00,0,0,0,0,,
2026-09-05 15:09:45.822716+00,0,0,0,0,,
2026-09-05 15:09:45.925112+00,0,0,0,0,,
2026-09-05 15:09:46.026433+00,0,0,0,0,,
2026-09-05 15:09:46.128864+00,0,0,0,0,,
2026-09-05 15:09:46.231154+00,0,0,0,0,,
2026-09-05 15:09:46.333542+00,0,0,0,0,,
2026-09-05 15:09:46.436211+00,0,0,0,0,,
2026-09-05 15:09:46.5392+00,0,0,0,0,,
2026-09-05 15:09:46.640592+00,0,0,0,0,,
2026-09-05 15:09:46.742902+00,0,0,0,0,,
2026-09-05 15:09:46.845302+00,0,0,0,0,,
2026-09-05 15:09:46.947676+00,0,0,0,0,,
2026-09-05 15:09:47.049957+00,0,0,0,0,,
2026-09-05 15:09:47.152236+00,0,0,0,0,,
2026-09-05 15:09:47.254585+00,0,0,0,0,,
2026-09-05 15:09:47.356899+00,0,0,0,0,,
2026-09-05 15:09:47.458257+00,0,0,0,0,,
2026-09-05 15:09:47.560634+00,0,0,0,0,,
2026-09-05 15:09:47.663491+00,0,0,0,0,,
2026-09-05 15:09:47.766062+00,0,0,0,0,,
2026-09-05 15:09:47.868338+00,0,0,0,0,,
2026-09-05 15:09:47.970865+00,0,0,0,0,,
2026-09-05 15:09:48.073426+00,0,0,0,0,,
2026-09-05 15:09:48.175942+00,0,0,0,0,,
2026-09-05 15:09:48.278242+00,0,0,0,0,,
2026-09-05 15:09:48.380537+00,0,0,0,0,,
